FECHA;INFL;POP;DES;OCU;SUBOCUPADOS;PEA;PET;TD;TO;TGP ;ITCR_FMI
1/09/2019;3.82;48550738;2578445; 21,295,333.00 ;2467244; 23,873,778.00 ; 37,125,893.00 ;10.8;57.4;64.3;138.46
1/10/2019;3.86;48632538;2466436; 21,896,714.00 ;2596728; 24,363,151.00 ; 37,198,728.00 ;10.1;58.9;65.5;142.79
1/11/2019;3.84;48715031;2330194; 21,895,675.00 ;2566358; 24,225,869.00 ; 37,272,475.00 ;9.6;58.7;65.0;144.26
1/12/2019;3.8;48793040;2401007; 21,730,479.00 ;2494892; 24,131,486.00 ; 37,342,441.00 ;9.9;58.2;64.6;144.88
1/01/2020;3.62;48873488;3219279;20700828;2581014;23920108;37414973;13.5;55.3;63.9;146.69
1/02/2020;3.72;48952361;3088987;21018996;2553324;24107983;37486069;12.8;56.1;64.3;142.98
1/03/2020;3.86;49024489;2990690;19695645;0;22686335;37551260;13.2;52.5;60.4;143.57
1/04/2020;3.51;49101468;4118922;15987843;0;20106765;37621007;20.5;42.5;53.4;144.72
1/05/2020;2.85;49175927;4695063;16673353;0;21368416;37688651;22.0;44.2;56.7;143.94
1/06/2020;2.19;49252944;4526151;17705471;0;22231621;37758385;20.4;46.9;58.9;145.26
1/07/2020;1.97;49312709;4594600;17373660;0;21968259;37814062;20.9;45.9;58.1;145.93
1/08/2020;1.88;49372406;3979113;18833320;2129431;22812433;37871919;17.4;49.7;60.2;147.52
1/09/2020;1.97;49431201;3770488;19371524;2196642;23142012;37929214;16.3;51.1;61.0;146.49
1/10/2020;1.75;49488281;3676839;20384009;2453814;24060848;37984732;15.3;53.7;63.3;143.69
1/11/2020;1.49;49545671;3292387;20371980;2348112;23664367;38040564;13.9;53.6;62.2;140.65
1/12/2020;1.61;49600710;3309063;20472886;2341560;23781949;38094379;13.9;53.7;62.4;135.48
1/01/2021;1.60;49658501;4070471;19105577;1843370;23176048;38150996;17.6;50.1;60.7;138.94
1/02/2021;1.56;49714356;3722381;20161700;1776339;23884081;38205824;15.6;52.8;62.5;136.32
1/03/2021;1.51;49764416;3469972;20094354;1655138;23564326;38255041;14.7;52.5;61.6;132.92
1/04/2021;1.95;49818973;3620648;19756418;1796502;23377066;38309096;15.5;51.6;61.0;126.82
1/05/2021;3.30;49871363;3584021;19988542;1867522;23572563;38361148;15.2;52.1;61.4;120.04
1/06/2021;3.63;49924655;3444482;20072811;1860258;23517293;38414175;14.6;52.3;61.2;120.19
1/07/2021;3.97;49968925;3066598;20416898;1792848;23483496;38458538;13.1;53.1;61.1;119.14
1/08/2021;4.44;50019882;3037050;20576643;1845932;23613693;38509806;12.9;53.4;61.3;118.76
1/09/2021;4.51;50069200;2809817;20681079;1694082;23490896;38559973;12.0;53.6;60.9;119.19
1/10/2021;4.58;50116018;2873861;21084485;1861905;23958347;38607769;12.0;54.6;62.1;122.57
1/11/2021;5.26;50162858;2772499;21267081;1789708;24039580;38655763;11.5;55.0;62.2;124.79
1/12/2021;5.62;50207338;2682937;21495309;1838626;24178246;38701474;11.1;55.5;62.5;124.65
1/01/2022;6.94;50254112;3551571;20695785;1772896;24247356;38749590;14.6;53.4;62.6;125.12
1/02/2022;8.01;50299304;3212544;21680919;2201574;24893463;38796079;12.9;55.9;64.2;126.56
1/03/2022;8.53;50339835;2990327;21679829;2076456;24670156;38837856;12.1;55.8;63.5;125.13
1/04/2022;9.23;50384974;2760623;21957395;2075410;24718018;38884307;11.2;56.5;63.6;125.24
1/05/2022;9.07;50428727;2643811;22184762;1980416;24828574;38929301;10.6;57.0;63.8;126.34
1/06/2022;9.67;50474569;2794729;22022596;2092503;24817325;38976237;11.3;56.5;63.7;129.57
1/07/2022;10.21;50513027;2722823;22055062;2040971;24777885;39015418;11.0;56.5;63.5;129.04
1/08/2022;10.84;50559226;2636147;22160003;2167006;24796150;39062389;10.6;56.7;63.5;127.85
1/09/2022;11.44;50605026;2696316;22389334;2191854;25085649;39108921;10.7;57.2;64.1;127.94
1/10/2022;12.22;50649422;2434167;22606050;2013530;25040217;39153913;9.7;57.7;64.0;128.96
